file,stoi,sdr,ssnr,pesq
sample_211.wav,0.9208277830720917,13.582926807293669,5.32433394492943,2.093726873397827
sample_210.wav,0.9117016674844576,17.385172273205725,7.892457304811477,1.9890532493591309
sample_370.wav,0.9470136343906271,19.80200801877939,10.469613652993726,2.199810028076172
sample_12.wav,0.9928864553002968,24.807678037125783,18.74028334288326,3.5763068199157715
sample_614.wav,0.9782888326928838,16.71256486987235,9.574697405974174,3.4285261631011963
sample_564.wav,0.9144978634230941,15.717584783765297,5.526319775542186,1.7181735038757324
sample_809.wav,0.927827214263516,20.789014985243355,8.890821452221878,2.4454309940338135
sample_189.wav,0.9924781168664034,20.56628306826593,12.263835589858372,2.7603840827941895
sample_17.wav,0.9792222340812505,21.526484483183662,15.15488936793456,2.8526155948638916
sample_58.wav,0.9887896354570888,19.141937960993715,9.014849078419537,1.9806458950042725
sample_306.wav,0.9500962226602812,15.403668214469414,8.04371433156032,2.0005781650543213
sample_460.wav,0.7366975477027937,9.840876761875924,2.7760080158331095,1.503565788269043
sample_266.wav,0.9590307601982682,19.502461167107484,13.320243238728251,2.7812507152557373
sample_528.wav,0.8329692917529409,19.013506863397865,8.564724496310587,2.3255012035369873
sample_515.wav,0.838403410047502,17.089233011031347,6.4120325563350065,1.7073074579238892
sample_677.wav,0.749590821258986,18.3977457735268,8.861208668920444,1.8612587451934814
sample_517.wav,0.9505447752389692,20.226930628998776,12.74870534796719,2.609732151031494
sample_503.wav,0.8904860841512217,14.831662695985901,6.44952325998937,1.8694088459014893
sample_264.wav,0.9333260906242339,20.506684551470897,12.235619961063254,2.4155900478363037
sample_476.wav,0.9060130529975906,16.18425077562437,7.68763110154385,2.6344456672668457
sample_664.wav,0.9194394175135179,16.619542466825806,9.128259004370463,1.8992154598236084
sample_314.wav,0.9835712158536735,27.854402631637058,17.043074982920217,3.5099947452545166
sample_711.wav,0.9475737179899318,19.630298321682627,7.263625739953857,2.0246031284332275
sample_706.wav,0.9870692925330845,20.04928502868132,9.854493818061892,2.87226939201355
sample_458.wav,0.9551730263286381,18.080404174373534,7.816135068450827,1.9804880619049072
sample_48.wav,0.9617960260447641,19.37016512225018,8.564083116022573,2.6879284381866455
sample_100.wav,0.9577779355296699,20.95951799279598,11.181566517517673,3.2091801166534424
sample_51.wav,0.894064171240368,11.707093197910023,4.640625878122418,1.9022241830825806
sample_737.wav,0.9408673258255866,19.253903710582353,9.40273222686339,2.321173906326294
sample_483.wav,0.8765893065450904,16.201552658301924,3.956951262408349,1.7565324306488037
sample_78.wav,0.9147475364801422,17.3901086686344,8.978339341295843,2.2050082683563232
sample_57.wav,0.9842789809580862,21.221352042352926,11.653549037242469,2.5474913120269775
sample_283.wav,0.9280040766898844,21.70192103739096,9.96047458214966,2.5641374588012695
sample_491.wav,0.9377629813303087,18.13128725684743,9.560443114251061,2.4306232929229736
sample_97.wav,0.9091380988241261,20.98119623905225,10.751948890614221,2.361236333847046
sample_280.wav,0.9603245249491363,20.99380859258485,12.692008966643888,3.1488068103790283
sample_41.wav,0.8772846020335083,20.489347464003092,8.278225617962677,2.0435473918914795
sample_152.wav,0.9826805060414805,26.52071420056626,17.58925613636648,3.2891948223114014
sample_608.wav,0.9164084740280654,16.462327789740748,10.137764116883258,2.1247806549072266
sample_231.wav,0.9052471054687834,15.804277598489806,6.559794326406151,1.9436272382736206
sample_151.wav,0.8749908041336563,12.727305981284085,7.423068129616518,1.8956212997436523
sample_597.wav,0.8644871551882001,19.037669432622707,9.616669985805721,2.128868579864502
sample_30.wav,0.9854581598815113,17.522614553133987,11.754071874186963,2.4434828758239746
sample_237.wav,0.9840180812296362,22.431877229183918,12.725738643478758,2.874528646469116
sample_357.wav,0.9906699577357929,19.84799718703234,10.904805607316133,2.522282600402832
sample_631.wav,0.9258759846611766,18.302101455211087,9.60782098034202,2.370927572250366
sample_433.wav,0.9445928984198645,23.20282749494424,14.243240151180114,2.79868221282959
sample_779.wav,0.8175433768452594,14.555139391649494,5.546620170228553,1.7424712181091309
sample_546.wav,0.977372737802409,20.886512540371974,13.629489400235101,3.052520513534546
sample_397.wav,0.958538460184663,19.682493651908363,14.219872341942628,2.7366960048675537
