freq,plv,mean_angle_rad,resultant_length,corr
0.0,0.13021065294742584,3.1415915489196777,0.13021065294742584,-0.1538391473433167
46.875,0.22368916869163513,2.108781337738037,0.22368916869163513,0.9953857243048422
93.75,0.23329198360443115,2.806098699569702,0.23329198360443115,-0.708506262550756
140.625,0.41870060563087463,2.9609878063201904,0.41870060563087463,0.9998970408842578
187.5,0.44968560338020325,2.8811097145080566,0.44968560338020325,0.9805396497240878
234.375,0.49751225113868713,2.9673967361450195,0.49751225113868713,0.998847390782346
281.25,0.6003243923187256,2.8975629806518555,0.6003243923187256,-0.9083037266289
328.125,0.7356622815132141,2.5980794429779053,0.7356622815132141,0.999909065584404
375.0,0.7449436187744141,2.095900535583496,0.7449436187744141,0.9953047331338059
421.875,0.5793298482894897,1.5654670000076294,0.5793298482894897,0.9998416922317301
468.75,0.573981761932373,0.9159612059593201,0.573981761932373,0.998657043073271
515.625,0.6868857145309448,0.43253564834594727,0.6868857145309448,0.9997489295710843
562.5,0.6669260263442993,-0.07061035186052322,0.6669260263442993,0.9948752767688781
609.375,0.7434728145599365,-0.7010089755058289,0.7434728145599365,0.9999021150523946
656.25,0.7436136603355408,-1.1813948154449463,0.7436136603355408,0.997788015453993
703.125,0.717729389667511,-1.7487305402755737,0.717729389667511,0.9998739920432561
750.0,0.7430484294891357,-2.0906267166137695,0.7430484294891357,0.9873613872686839
796.875,0.7689935564994812,-2.6775155067443848,0.7689935564994812,0.999900449301073
843.75,0.8353749513626099,2.978199005126953,0.8353749513626099,-0.8484566709032042
890.625,0.8760439157485962,2.4914255142211914,0.8760439157485962,0.9999361397661349
937.5,0.8389630317687988,2.134305238723755,0.8389630317687988,0.9930949844354308
984.375,0.7425017356872559,1.4255273342132568,0.7425017356872559,0.9998060324360291
1031.25,0.8403202891349792,1.0459333658218384,0.8403202891349792,-0.5888986329439041
1078.125,0.5483288764953613,0.7260615229606628,0.5483288764953613,0.9998428382644601
1125.0,0.6148422360420227,-0.6826150417327881,0.6148422360420227,-0.8344276636420711
1171.875,0.7879219651222229,-1.0694884061813354,0.7879219651222229,0.9998772643510726
1218.75,0.7424885034561157,-1.5331958532333374,0.7424885034561157,0.8315372846459211
1265.625,0.7500423789024353,-2.000539779663086,0.7500423789024353,0.9997945656764946
1312.5,0.7791029810905457,-2.500824451446533,0.7791029810905457,0.7918804598427227
1359.375,0.753399670124054,-3.104055166244507,0.753399670124054,0.9998536660924164
